Site/Site AQS/Param/POC,Date.LST,ugPerMeter3
Billlings Lockw/301110087/PM2.5-88101/3,5/3/2018,7.3
Billlings Lockw/301110087/PM2.5-88101/3,5/4/2018,8.1
Billlings Lockw/301110087/PM2.5-88101/3,5/5/2018,6.4
Billlings Lockw/301110087/PM2.5-88101/3,5/6/2018,6.8
Billlings Lockw/301110087/PM2.5-88101/3,5/7/2018,-999
Billlings Lockw/301110087/PM2.5-88101/3,5/8/2018,4
Billlings Lockw/301110087/PM2.5-88101/3,5/9/2018,-999
Billlings Lockw/301110087/PM2.5-88101/3,5/10/2018,-1
Billlings Lockw/301110087/PM2.5-88101/3,5/11/2018,5.7
Billlings Lockw/301110087/PM2.5-88101/3,5/12/2018,10.3
Billlings Lockw/301110087/PM2.5-88101/3,5/13/2018,6.2
Billlings Lockw/301110087/PM2.5-88101/3,5/14/2018,7.3
Billlings Lockw/301110087/PM2.5-88101/3,5/15/2018,7.2
Billlings Lockw/301110087/PM2.5-88101/3,5/16/2018,6.9
Billlings Lockw/301110087/PM2.5-88101/3,5/17/2018,7.1
Billlings Lockw/301110087/PM2.5-88101/3,5/18/2018,7.3
Billlings Lockw/301110087/PM2.5-88101/3,5/19/2018,4.8
Billlings Lockw/301110087/PM2.5-88101/3,5/20/2018,8.4
Billlings Lockw/301110087/PM2.5-88101/3,5/21/2018,7.3
Billlings Lockw/301110087/PM2.5-88101/3,5/22/2018,8.4
Billlings Lockw/301110087/PM2.5-88101/3,5/23/2018,10.4
Billlings Lockw/301110087/PM2.5-88101/3,5/24/2018,5.7
Billlings Lockw/301110087/PM2.5-88101/3,5/25/2018,6.6
Billlings Lockw/301110087/PM2.5-88101/3,5/26/2018,8.3
Billlings Lockw/301110087/PM2.5-88101/3,5/27/2018,8.4
Billlings Lockw/301110087/PM2.5-88101/3,5/28/2018,6.5
Billlings Lockw/301110087/PM2.5-88101/3,5/29/2018,8.4
Billlings Lockw/301110087/PM2.5-88101/3,5/30/2018,8.1
Billlings Lockw/301110087/PM2.5-88101/3,5/31/2018,5.9
