Agency,Site,Site AQS,Param,Param AQS,POC,Method,Duration,Date (LST),Unit,Concentration
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/26/2018,UG/M3,3.7
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/27/2018,UG/M3,4.3
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/28/2018,UG/M3,6.6
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/29/2018,UG/M3,5.2
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/30/2018,UG/M3,3.9
WA1,Aberdeen-Division St,530272002,PM2.5-88502,88502,4,,24 Hrs,3/31/2018,UG/M3,4.8
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/1/2018,UG/M3,11.2
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/2/2018,UG/M3,7.9
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/3/2018,UG/M3,5.6
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/4/2018,UG/M3,8.3
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/5/2018,UG/M3,6.3
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/6/2018,UG/M3,8.9
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/7/2018,UG/M3,7.7
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/8/2018,UG/M3,8.2
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/9/2018,UG/M3,4.2
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/10/2018,UG/M3,2.5
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/11/2018,UG/M3,1.9
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/12/2018,UG/M3,4.9
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/13/2018,UG/M3,13.3
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/14/2018,UG/M3,10.4
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/15/2018,UG/M3,12.8
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/16/2018,UG/M3,5.9
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/17/2018,UG/M3,5.1
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/18/2018,UG/M3,2
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/19/2018,UG/M3,1.7
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/20/2018,UG/M3,2.4
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/21/2018,UG/M3,2.9
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/22/2018,UG/M3,4
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/23/2018,UG/M3,3.3
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/24/2018,UG/M3,1.6
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/25/2018,UG/M3,1.8
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/26/2018,UG/M3,1.9
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/27/2018,UG/M3,2
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/28/2018,UG/M3,5.7
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/29/2018,UG/M3,3.3
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/30/2018,UG/M3,2.6
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,1/31/2018,UG/M3,5.4
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,2/1/2018,UG/M3,7.6
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,2/2/2018,UG/M3,2.3
OR1,Albany - Calapooia School,410430009,PM2.5-88502,88502,3,,24 Hrs,2/3/2018,UG/M3,3.3
